year,state_abbr,state,stratification_category,stratification,obesity_pct,no_leisure_activity_pct,low_fruit_consumption_pct
2017,AZ,Arizona,Age (years),35 - 44,34.4,22.0,34.6
2017,AZ,Arizona,Age (years),45 - 54,34.4,27.5,39.0
2017,AZ,Arizona,Age (years),55 - 64,33.5,28.7,37.3
2017,AZ,Arizona,Age (years),65 or older,25.5,31.1,33.9
2017,AZ,Arizona,Education,College graduate,22.3,15.6,28.7
2017,AZ,Arizona,Education,High school graduate,32.8,29.5,41.5
2017,AZ,Arizona,Education,Less than high school,33.9,37.3,42.2
2017,AZ,Arizona,Education,Some college or technical school,30.3,23.7,38.3
2017,AZ,Arizona,Income,"$15,000 - $24,999",34.3,30.9,38.6
2017,AZ,Arizona,Income,"$25,000 - $34,999",27.8,32.6,40.4
2017,AZ,Arizona,Income,"$35,000 - $49,999",30.4,26.7,36.7
2017,AZ,Arizona,Income,"$50,000 - $74,999",30.5,21.2,36.7
2017,AZ,Arizona,Income,"$75,000 or greater",25.0,15.2,32.4
2017,AZ,Arizona,Income,Data not reported,28.2,27.4,38.4
2017,AZ,Arizona,Income,"Less than $15,000",35.5,35.2,45.3
2017,AZ,Arizona,Race/Ethnicity,Hispanic,35.4,26.4,37.3
2017,AZ,Arizona,Race/Ethnicity,NH American Indian/Alaska Native,41.6,26.9,39.3
2017,AZ,Arizona,Race/Ethnicity,Non-Hispanic 2 or more races,34.4,23.7,35.7
2017,AZ,Arizona,Race/Ethnicity,Non-Hispanic Asian,8.6,20.5,30.7
2017,AZ,Arizona,Race/Ethnicity,Non-Hispanic Black,34.3,28.1,40.8
2017,AZ,Arizona,Race/Ethnicity,Non-Hispanic Other,31.2,37.4,35.3
2017,AZ,Arizona,Race/Ethnicity,Non-Hispanic White,26.9,24.3,37.3
2017,AZ,Arizona,Sex,Female,28.8,26.5,33.3
2017,AZ,Arizona,Sex,Male,30.1,23.5,41.3
2017,AZ,Arizona,Total,Total,29.5,25.1,37.2
2017,CA,California,Age (years),18 - 24,12.7,14.6,40.8
2017,CA,California,Age (years),25 - 34,22.6,17.7,37.1
2017,CA,California,Age (years),35 - 44,25.4,21.8,30.6
2017,CA,California,Age (years),45 - 54,31.6,20.7,30.7
2017,CA,California,Age (years),55 - 64,31.8,21.8,31.9
2017,CA,California,Age (years),65 or older,24.2,22.1,26.0
2017,CA,California,Education,College graduate,14.4,11.9,27.4
2017,CA,California,Education,High school graduate,28.7,22.1,36.3
2017,CA,California,Education,Less than high school,34.0,35.3,30.9
2017,CA,California,Education,Some college or technical school,28.0,17.7,35.6
