year,state_abbr,state,stratification_category,stratification,obesity_pct,no_leisure_activity_pct,low_fruit_consumption_pct
2017,PA,Pennsylvania,Education,College graduate,26.1,14.8,27.1
2017,PA,Pennsylvania,Education,High school graduate,34.0,32.1,36.6
2017,PA,Pennsylvania,Education,Less than high school,36.1,38.9,38.3
2017,PA,Pennsylvania,Education,Some college or technical school,32.1,20.4,36.5
2017,PA,Pennsylvania,Income,"$15,000 - $24,999",36.3,37.0,38.4
2017,PA,Pennsylvania,Income,"$25,000 - $34,999",29.1,31.4,33.9
2017,PA,Pennsylvania,Income,"$35,000 - $49,999",32.2,24.4,33.5
2017,PA,Pennsylvania,Income,"$50,000 - $74,999",34.4,22.5,39.1
2017,PA,Pennsylvania,Income,"$75,000 or greater",28.9,15.2,28.5
2017,PA,Pennsylvania,Income,Data not reported,27.7,27.7,29.9
2017,PA,Pennsylvania,Income,"Less than $15,000",37.6,36.4,48.3
2017,PA,Pennsylvania,Race/Ethnicity,Hispanic,25.0,32.2,34.3
2017,PA,Pennsylvania,Race/Ethnicity,Non-Hispanic 2 or more races,48.4,34.0,30.9
2017,PA,Pennsylvania,Race/Ethnicity,Non-Hispanic Asian,8.1,25.5,29.8
2017,PA,Pennsylvania,Race/Ethnicity,Non-Hispanic Black,38.1,24.7,39.4
2017,PA,Pennsylvania,Race/Ethnicity,Non-Hispanic White,31.5,24.3,33.5
2017,PA,Pennsylvania,Sex,Female,30.5,25.9,31.0
2017,PA,Pennsylvania,Sex,Male,32.7,23.8,37.3
2017,PA,Pennsylvania,Total,Total,31.6,24.9,34.1
2017,RI,Rhode Island,Age (years),18 - 24,15.8,18.1,42.1
2017,RI,Rhode Island,Age (years),25 - 34,30.9,23.2,35.3
2017,RI,Rhode Island,Age (years),35 - 44,32.3,26.2,28.0
2017,RI,Rhode Island,Age (years),45 - 54,35.8,25.8,35.5
2017,RI,Rhode Island,Age (years),55 - 64,34.3,28.0,34.2
2017,RI,Rhode Island,Age (years),65 or older,28.3,32.3,29.5
2017,RI,Rhode Island,Education,College graduate,23.5,14.4,23.3
2017,RI,Rhode Island,Education,High school graduate,34.2,31.6,39.0
2017,RI,Rhode Island,Education,Less than high school,37.6,39.8,40.2
2017,RI,Rhode Island,Education,Some college or technical school,29.3,27.7,37.0
2017,RI,Rhode Island,Income,"$15,000 - $24,999",34.6,35.9,38.2
2017,RI,Rhode Island,Income,"$25,000 - $34,999",30.8,35.1,38.6
2017,RI,Rhode Island,Income,"$35,000 - $49,999",33.9,27.6,30.0
2017,RI,Rhode Island,Income,"$50,000 - $74,999",30.2,23.5,31.8
2017,RI,Rhode Island,Income,"$75,000 or greater",27.7,16.2,29.5
2017,RI,Rhode Island,Income,Data not reported,26.1,28.1,34.0
2017,RI,Rhode Island,Income,"Less than $15,000",34.3,40.2,45.7
2017,RI,Rhode Island,Race/Ethnicity,Hispanic,34.8,33.1,35.3
2017,RI,Rhode Island,Race/Ethnicity,Non-Hispanic 2 or more races,20.3,24.6,33.9
2017,RI,Rhode Island,Race/Ethnicity,Non-Hispanic Asian,9.8,23.9,48.5
2017,RI,Rhode Island,Race/Ethnicity,Non-Hispanic Black,34.0,28.4,40.3
2017,RI,Rhode Island,Race/Ethnicity,Non-Hispanic Other,24.6,28.0,28.9
2017,RI,Rhode Island,Race/Ethnicity,Non-Hispanic White,29.7,25.2,33.1
2017,RI,Rhode Island,Sex,Female,29.0,29.1,32.1
2017,RI,Rhode Island,Sex,Male,31.0,23.1,35.5
2017,RI,Rhode Island,Total,Total,30.0,26.3,33.7
2017,SC,South Carolina,Age (years),18 - 24,22.3,17.7,40.1
2017,SC,South Carolina,Age (years),25 - 34,33.7,25.8,41.1
2017,SC,South Carolina,Age (years),35 - 44,39.7,28.9,41.3
2017,SC,South Carolina,Age (years),45 - 54,42.3,30.3,44.8
2017,SC,South Carolina,Age (years),55 - 64,37.4,31.3,42.8
2017,SC,South Carolina,Age (years),65 or older,28.7,32.0,35.1
2017,SC,South Carolina,Education,College graduate,27.7,16.8,33.0
2017,SC,South Carolina,Education,High school graduate,37.8,34.2,45.7
2017,SC,South Carolina,Education,Less than high school,34.0,40.2,44.9
2017,SC,South Carolina,Education,Some college or technical school,35.5,26.7,40.1
2017,SC,South Carolina,Income,"$15,000 - $24,999",37.1,37.1,42.0
2017,SC,South Carolina,Income,"$25,000 - $34,999",35.0,34.2,45.2
2017,SC,South Carolina,Income,"$35,000 - $49,999",35.8,29.0,42.4
2017,SC,South Carolina,Income,"$50,000 - $74,999",37.9,23.5,40.4
2017,SC,South Carolina,Income,"$75,000 or greater",29.9,16.9,36.0
2017,SC,South Carolina,Income,Data not reported,30.7,31.9,38.0
2017,SC,South Carolina,Income,"Less than $15,000",36.8,36.4,48.1
2017,SC,South Carolina,Race/Ethnicity,Hispanic,30.8,32.6,37.1
2017,SC,South Carolina,Race/Ethnicity,NH American Indian/Alaska Native,41.2,30.9,41.4
2017,SC,South Carolina,Race/Ethnicity,Non-Hispanic 2 or more races,32.9,20.7,41.1
2017,SC,South Carolina,Race/Ethnicity,Non-Hispanic Asian,27.0,31.8,18.2
2017,SC,South Carolina,Race/Ethnicity,Non-Hispanic Black,43.7,33.4,41.0
2017,SC,South Carolina,Race/Ethnicity,Non-Hispanic Other,32.1,24.1,21.8
2017,SC,South Carolina,Race/Ethnicity,Non-Hispanic White,31.0,26.2,41.0
2017,SC,South Carolina,Sex,Female,35.1,30.5,37.2
2017,SC,South Carolina,Sex,Male,33.0,26.1,44.2
2017,SC,South Carolina,Total,Total,34.1,28.4,40.6
2017,SD,South Dakota,Age (years),18 - 24,19.3,11.7,42.4
2017,SD,South Dakota,Age (years),25 - 34,32.8,18.9,39.8
2017,SD,South Dakota,Age (years),35 - 44,29.6,23.7,38.7
2017,SD,South Dakota,Age (years),45 - 54,40.0,29.6,41.9
2017,SD,South Dakota,Age (years),55 - 64,37.2,27.2,38.4
2017,SD,South Dakota,Age (years),65 or older,30.4,32.8,25.6
2017,SD,South Dakota,Education,College graduate,27.8,16.1,32.0
2017,SD,South Dakota,Education,High school graduate,32.4,28.8,39.3
2017,SD,South Dakota,Education,Less than high school,40.2,37.8,32.2
2017,SD,South Dakota,Education,Some college or technical school,32.1,24.2,39.7
2017,SD,South Dakota,Income,"$15,000 - $24,999",31.6,30.5,31.2
2017,SD,South Dakota,Income,"$25,000 - $34,999",33.3,31.6,42.0
2017,SD,South Dakota,Income,"$35,000 - $49,999",31.6,24.7,33.8
2017,SD,South Dakota,Income,"$50,000 - $74,999",30.2,24.4,38.8
2017,SD,South Dakota,Income,"$75,000 or greater",28.9,19.3,36.8
2017,SD,South Dakota,Income,Data not reported,33.9,26.0,35.2
2017,SD,South Dakota,Income,"Less than $15,000",42.0,26.7,46.5
2017,SD,South Dakota,Race/Ethnicity,Hispanic,44.0,22.7,39.5
2017,SD,South Dakota,Race/Ethnicity,NH American Indian/Alaska Native,48.7,25.4,41.3
2017,SD,South Dakota,Race/Ethnicity,Non-Hispanic 2 or more races,34.2,22.9,52.0
2017,SD,South Dakota,Race/Ethnicity,Non-Hispanic White,30.6,25.2,36.4
2017,SD,South Dakota,Sex,Female,29.5,21.9,33.1
2017,SD,South Dakota,Sex,Male,34.1,27.8,40.8
2017,SD,South Dakota,Total,Total,31.9,24.9,36.9
2017,TN,Tennessee,Age (years),18 - 24,15.6,23.7,37.4
2017,TN,Tennessee,Age (years),25 - 34,31.1,24.2,38.1
2017,TN,Tennessee,Age (years),35 - 44,38.9,27.1,38.9
2017,TN,Tennessee,Age (years),45 - 54,38.5,33.6,43.6
2017,TN,Tennessee,Age (years),55 - 64,38.4,36.4,39.4
2017,TN,Tennessee,Age (years),65 or older,30.6,35.0,36.2
2017,TN,Tennessee,Education,College graduate,25.8,15.2,29.6
2017,TN,Tennessee,Education,High school graduate,33.4,36.6,44.5
2017,TN,Tennessee,Education,Less than high school,35.6,43.2,45.6
2017,TN,Tennessee,Education,Some college or technical school,36.5,30.4,37.5
2017,TN,Tennessee,Income,"$15,000 - $24,999",39.1,41.6,42.3
2017,TN,Tennessee,Income,"$25,000 - $34,999",31.9,32.5,44.1
2017,TN,Tennessee,Income,"$35,000 - $49,999",35.4,32.2,36.3
2017,TN,Tennessee,Income,"$50,000 - $74,999",32.8,26.2,37.9
2017,TN,Tennessee,Income,"$75,000 or greater",31.0,17.4,33.1
2017,TN,Tennessee,Income,Data not reported,25.0,31.8,35.1
2017,TN,Tennessee,Income,"Less than $15,000",36.1,41.6,51.0
2017,TN,Tennessee,Race/Ethnicity,Hispanic,27.0,41.1,38.9
2017,TN,Tennessee,Race/Ethnicity,NH American Indian/Alaska Native,26.9,16.9,26.5
2017,TN,Tennessee,Race/Ethnicity,Non-Hispanic 2 or more races,35.6,38.3,44.4
2017,TN,Tennessee,Race/Ethnicity,Non-Hispanic Black,44.7,31.9,38.0
2017,TN,Tennessee,Race/Ethnicity,Non-Hispanic White,31.0,29.9,39.4
2017,TN,Tennessee,Sex,Female,32.4,32.5,36.0
2017,TN,Tennessee,Sex,Male,33.3,28.5,42.1
2017,TN,Tennessee,Total,Total,32.8,30.6,38.9
2017,TX,Texas,Age (years),18 - 24,16.4,25.4,46.1
2017,TX,Texas,Age (years),25 - 34,30.6,26.9,38.3
2017,TX,Texas,Age (years),35 - 44,39.3,31.8,33.4
2017,TX,Texas,Age (years),45 - 54,39.4,32.7,38.4
2017,TX,Texas,Age (years),55 - 64,38.9,38.4,44.8
2017,TX,Texas,Age (years),65 or older,30.6,37.0,37.9
2017,TX,Texas,Education,College graduate,25.9,17.6,31.1
2017,TX,Texas,Education,High school graduate,35.8,39.1,46.4
2017,TX,Texas,Education,Less than high school,40.5,49.4,42.4
2017,TX,Texas,Education,Some college or technical school,32.7,29.2,39.4
2017,TX,Texas,Income,"$15,000 - $24,999",37.2,39.2,41.3
2017,TX,Texas,Income,"$25,000 - $34,999",35.5,38.1,42.1
2017,TX,Texas,Income,"$35,000 - $49,999",28.8,31.9,44.5
2017,TX,Texas,Income,"$50,000 - $74,999",35.0,29.0,35.5
2017,TX,Texas,Income,"$75,000 or greater",28.8,21.2,32.9
2017,TX,Texas,Income,Data not reported,32.3,33.9,41.3
2017,TX,Texas,Income,"Less than $15,000",38.5,44.8,48.0
2017,TX,Texas,Race/Ethnicity,Hispanic,37.3,36.8,39.0
2017,TX,Texas,Race/Ethnicity,NH American Indian/Alaska Native,48.2,12.9,30.1
2017,TX,Texas,Race/Ethnicity,Non-Hispanic 2 or more races,25.4,29.3,43.9
2017,TX,Texas,Race/Ethnicity,Non-Hispanic Asian,14.9,25.3,36.0
2017,TX,Texas,Race/Ethnicity,Non-Hispanic Black,38.6,36.2,36.9
2017,TX,Texas,Race/Ethnicity,Non-Hispanic White,30.4,28.4,41.0
2017,TX,Texas,Sex,Female,32.1,33.9,36.7
2017,TX,Texas,Sex,Male,33.9,30.2,42.4
2017,TX,Texas,Total,Total,33.0,32.1,39.4
2017,UT,Utah,Age (years),18 - 24,13.3,16.0,39.3
2017,UT,Utah,Age (years),25 - 34,21.6,17.9,33.5
2017,UT,Utah,Age (years),35 - 44,28.4,20.3,30.7
2017,UT,Utah,Age (years),45 - 54,30.0,23.1,31.2
2017,UT,Utah,Age (years),55 - 64,33.7,23.7,30.3
2017,UT,Utah,Age (years),65 or older,26.8,27.2,27.1
2017,UT,Utah,Education,College graduate,23.1,12.1,23.8
2017,UT,Utah,Education,High school graduate,24.9,27.4,38.1
2017,UT,Utah,Education,Less than high school,25.1,35.1,39.6
2017,UT,Utah,Education,Some college or technical school,27.0,20.1,32.8
2017,UT,Utah,Income,"$15,000 - $24,999",28.0,29.5,37.9
2017,UT,Utah,Income,"$25,000 - $34,999",24.5,26.1,31.5
2017,UT,Utah,Income,"$35,000 - $49,999",27.4,21.7,32.7
2017,UT,Utah,Income,"$50,000 - $74,999",25.9,17.2,29.9
2017,UT,Utah,Income,"$75,000 or greater",24.5,13.2,29.0
2017,UT,Utah,Income,Data not reported,22.4,30.3,36.0
2017,UT,Utah,Income,"Less than $15,000",27.6,29.8,36.8
2017,UT,Utah,Race/Ethnicity,Hispanic,27.9,30.5,32.8
2017,UT,Utah,Race/Ethnicity,NH American Indian/Alaska Native,34.3,28.0,41.5
2017,UT,Utah,Race/Ethnicity,Non-Hispanic 2 or more races,23.2,12.6,31.0
2017,UT,Utah,Race/Ethnicity,Non-Hispanic Asian,11.3,22.2,31.1
2017,UT,Utah,Race/Ethnicity,Non-Hispanic White,25.0,19.4,31.8
2017,UT,Utah,Sex,Female,24.3,20.9,27.9
2017,UT,Utah,Sex,Male,26.1,21.2,36.3
2017,UT,Utah,Total,Total,25.3,21.1,32.1
2017,VA,Virginia,Age (years),18 - 24,17.7,15.5,38.8
2017,VA,Virginia,Age (years),25 - 34,28.8,21.5,36.8
2017,VA,Virginia,Age (years),35 - 44,31.8,27.4,37.3
2017,VA,Virginia,Age (years),45 - 54,35.8,26.8,40.4
2017,VA,Virginia,Age (years),55 - 64,35.4,28.8,35.2
2017,VA,Virginia,Age (years),65 or older,28.2,32.3,32.4
2017,VA,Virginia,Education,College graduate,23.5,14.0,27.7
2017,VA,Virginia,Education,High school graduate,32.7,32.7,41.2
2017,VA,Virginia,Education,Less than high school,39.5,49.0,44.3
2017,VA,Virginia,Education,Some college or technical school,31.8,25.0,40.0
2017,VA,Virginia,Income,"$15,000 - $24,999",36.6,38.9,42.6
2017,VA,Virginia,Income,"$25,000 - $34,999",39.5,30.9,42.3
2017,VA,Virginia,Income,"$35,000 - $49,999",33.7,30.4,37.6
2017,VA,Virginia,Income,"$50,000 - $74,999",29.2,25.3,36.4
2017,VA,Virginia,Income,"$75,000 or greater",26.1,15.3,31.5
2017,VA,Virginia,Income,Data not reported,24.7,29.1,37.5
2017,VA,Virginia,Income,"Less than $15,000",38.0,43.6,46.1
2017,VA,Virginia,Race/Ethnicity,Hispanic,32.2,30.8,27.6
2017,VA,Virginia,Race/Ethnicity,NH American Indian/Alaska Native,25.5,37.1,32.2
2017,VA,Virginia,Race/Ethnicity,Non-Hispanic 2 or more races,22.5,16.1,35.8
2017,VA,Virginia,Race/Ethnicity,Non-Hispanic Asian,7.5,14.3,34.2
2017,VA,Virginia,Race/Ethnicity,Non-Hispanic Black,43.6,34.7,43.0
2017,VA,Virginia,Race/Ethnicity,Non-Hispanic White,28.4,24.2,36.4
2017,VA,Virginia,Sex,Female,31.6,27.2,32.0
2017,VA,Virginia,Sex,Male,28.5,24.7,41.5
2017,VA,Virginia,Total,Total,30.1,25.9,36.6
2017,VT,Vermont,Age (years),18 - 24,14.3,17.9,29.9
2017,VT,Vermont,Age (years),25 - 34,27.7,17.1,36.6
2017,VT,Vermont,Age (years),35 - 44,30.3,21.6,25.8
2017,VT,Vermont,Age (years),45 - 54,33.9,18.9,31.5
2017,VT,Vermont,Age (years),55 - 64,29.6,22.2,28.9
2017,VT,Vermont,Age (years),65 or older,27.4,27.5,27.3
2017,VT,Vermont,Education,College graduate,18.8,9.1,22.4
2017,VT,Vermont,Education,High school graduate,33.5,29.9,39.8
2017,VT,Vermont,Education,Less than high school,41.2,38.8,37.0
2017,VT,Vermont,Education,Some college or technical school,27.5,22.1,26.0
2017,VT,Vermont,Income,"$15,000 - $24,999",34.7,33.0,33.8
2017,VT,Vermont,Income,"$25,000 - $34,999",33.7,21.3,36.3
2017,VT,Vermont,Income,"$35,000 - $49,999",30.4,23.7,34.0
2017,VT,Vermont,Income,"$50,000 - $74,999",28.6,22.9,26.8
2017,VT,Vermont,Income,"$75,000 or greater",22.3,12.0,23.7
2017,VT,Vermont,Income,Data not reported,21.2,22.8,27.4
2017,VT,Vermont,Income,"Less than $15,000",35.0,31.8,43.1
2017,VT,Vermont,Race/Ethnicity,NH American Indian/Alaska Native,37.0,29.6,34.5
2017,VT,Vermont,Race/Ethnicity,Non-Hispanic 2 or more races,32.2,14.0,36.0
2017,VT,Vermont,Race/Ethnicity,Non-Hispanic White,27.7,21.5,29.8
2017,VT,Vermont,Sex,Female,27.2,21.6,25.9
2017,VT,Vermont,Sex,Male,28.0,21.6,33.7
2017,VT,Vermont,Total,Total,27.6,21.6,29.7
2017,WA,Washington,Age (years),18 - 24,17.3,14.9,36.4
2017,WA,Washington,Age (years),25 - 34,25.1,16.0,31.5
2017,WA,Washington,Age (years),35 - 44,31.4,18.5,34.5
2017,WA,Washington,Age (years),45 - 54,30.1,20.2,33.0
2017,WA,Washington,Age (years),55 - 64,32.4,20.7,32.7
2017,WA,Washington,Age (years),65 or older,26.9,23.2,26.9
2017,WA,Washington,Education,College graduate,19.8,10.9,25.1
2017,WA,Washington,Education,High school graduate,31.8,25.5,37.6
2017,WA,Washington,Education,Less than high school,34.2,33.8,40.1
2017,WA,Washington,Education,Some college or technical school,30.2,18.1,32.6
2017,WA,Washington,Income,"$15,000 - $24,999",33.1,28.7,37.2
2017,WA,Washington,Income,"$25,000 - $34,999",30.2,24.1,31.8
2017,WA,Washington,Income,"$35,000 - $49,999",30.0,22.5,32.0
2017,WA,Washington,Income,"$50,000 - $74,999",29.2,18.6,33.8
2017,WA,Washington,Income,"$75,000 or greater",24.3,11.8,28.6
2017,WA,Washington,Income,Data not reported,24.3,21.1,33.6
2017,WA,Washington,Income,"Less than $15,000",34.3,28.1,36.1
2017,WA,Washington,Race/Ethnicity,Hispanic,33.1,26.9,31.4
2017,WA,Washington,Race/Ethnicity,NH American Indian/Alaska Native,34.9,27.5,39.0
2017,WA,Washington,Race/Ethnicity,Non-Hispanic 2 or more races,33.8,20.0,36.1
2017,WA,Washington,Race/Ethnicity,Non-Hispanic Asian,9.1,20.0,31.0
2017,WA,Washington,Race/Ethnicity,Non-Hispanic Black,32.2,19.2,35.6
2017,WA,Washington,Race/Ethnicity,Non-Hispanic Other,32.8,22.5,29.1
2017,WA,Washington,Race/Ethnicity,Non-Hispanic White,28.5,17.8,32.1
2017,WA,Washington,Sex,Female,27.1,20.2,28.5
2017,WA,Washington,Sex,Male,28.2,18.2,35.9
2017,WA,Washington,Total,Total,27.7,19.2,32.1
2017,WI,Wisconsin,Age (years),18 - 24,22.5,15.8,31.7
2017,WI,Wisconsin,Age (years),25 - 34,30.4,23.0,32.5
2017,WI,Wisconsin,Age (years),35 - 44,32.6,20.1,34.3
2017,WI,Wisconsin,Age (years),45 - 54,36.7,19.7,38.3
2017,WI,Wisconsin,Age (years),55 - 64,39.3,24.0,31.5
2017,WI,Wisconsin,Age (years),65 or older,29.1,28.1,27.7
2017,WI,Wisconsin,Education,College graduate,23.0,12.8,25.4
2017,WI,Wisconsin,Education,High school graduate,34.2,27.9,38.6
2017,WI,Wisconsin,Education,Less than high school,37.5,32.1,31.7
2017,WI,Wisconsin,Education,Some college or technical school,35.8,22.3,32.3
2017,WI,Wisconsin,Income,"$15,000 - $24,999",33.8,34.6,38.7
2017,WI,Wisconsin,Income,"$25,000 - $34,999",35.7,26.4,30.6
2017,WI,Wisconsin,Income,"$35,000 - $49,999",37.5,24.4,33.0
2017,WI,Wisconsin,Income,"$50,000 - $74,999",30.8,20.3,30.5
2017,WI,Wisconsin,Income,"$75,000 or greater",28.2,14.5,29.3
2017,WI,Wisconsin,Income,Data not reported,31.5,24.0,30.5
2017,WI,Wisconsin,Income,"Less than $15,000",35.1,28.2,45.4
2017,WI,Wisconsin,Race/Ethnicity,Hispanic,38.7,26.5,28.0
2017,WI,Wisconsin,Race/Ethnicity,NH American Indian/Alaska Native,37.2,14.0,38.1
2017,WI,Wisconsin,Race/Ethnicity,Non-Hispanic 2 or more races,22.5,17.1,37.8
2017,WI,Wisconsin,Race/Ethnicity,Non-Hispanic Asian,26.7,23.6,15.9
2017,WI,Wisconsin,Race/Ethnicity,Non-Hispanic Black,39.0,33.6,38.9
2017,WI,Wisconsin,Race/Ethnicity,Non-Hispanic White,31.3,21.4,32.4
2017,WI,Wisconsin,Sex,Female,31.6,22.8,27.6
2017,WI,Wisconsin,Sex,Male,32.4,21.9,37.4
2017,WI,Wisconsin,Total,Total,32.0,22.4,32.4
2017,WV,West Virginia,Age (years),18 - 24,24.5,16.2,43.4
2017,WV,West Virginia,Age (years),25 - 34,35.8,24.8,44.6
2017,WV,West Virginia,Age (years),35 - 44,41.9,26.1,46.9
2017,WV,West Virginia,Age (years),45 - 54,46.4,37.7,48.6
2017,WV,West Virginia,Age (years),55 - 64,43.8,37.6,47.7
2017,WV,West Virginia,Age (years),65 or older,33.5,37.2,40.1
2017,WV,West Virginia,Education,College graduate,33.2,18.5,37.4
2017,WV,West Virginia,Education,High school graduate,37.2,36.5,47.7
2017,WV,West Virginia,Education,Less than high school,38.5,42.8,51.3
2017,WV,West Virginia,Education,Some college or technical school,42.5,27.3,42.9
2017,WV,West Virginia,Income,"$15,000 - $24,999",38.8,37.3,50.3
2017,WV,West Virginia,Income,"$25,000 - $34,999",39.5,33.2,41.2
2017,WV,West Virginia,Income,"$35,000 - $49,999",43.7,33.0,45.1
2017,WV,West Virginia,Income,"$50,000 - $74,999",42.1,29.5,41.0
2017,WV,West Virginia,Income,"$75,000 or greater",33.6,16.9,39.5
2017,WV,West Virginia,Income,Data not reported,33.1,34.5,44.6
2017,WV,West Virginia,Income,"Less than $15,000",39.9,42.7,53.9
2017,WV,West Virginia,Race/Ethnicity,Non-Hispanic 2 or more races,52.8,23.5,52.1
2017,WV,West Virginia,Race/Ethnicity,Non-Hispanic Black,42.9,35.3,44.4
2017,WV,West Virginia,Race/Ethnicity,Non-Hispanic White,38.1,31.8,45.2
2017,WV,West Virginia,Sex,Female,36.7,32.7,43.7
2017,WV,West Virginia,Sex,Male,39.4,30.4,46.2
2017,WV,West Virginia,Total,Total,38.1,31.6,44.9
2017,WY,Wyoming,Age (years),18 - 24,13.0,14.1,47.7
2017,WY,Wyoming,Age (years),25 - 34,24.2,20.4,36.4
2017,WY,Wyoming,Age (years),35 - 44,33.3,23.0,34.0
2017,WY,Wyoming,Age (years),45 - 54,37.7,27.8,36.3
2017,WY,Wyoming,Age (years),55 - 64,33.4,27.7,41.1
2017,WY,Wyoming,Age (years),65 or older,28.6,35.8,33.6
2017,WY,Wyoming,Education,College graduate,23.6,15.2,25.5
2017,WY,Wyoming,Education,High school graduate,31.3,30.0,43.5
2017,WY,Wyoming,Education,Less than high school,19.1,38.4,52.0
2017,WY,Wyoming,Education,Some college or technical school,32.1,26.4,38.1
2017,WY,Wyoming,Income,"$15,000 - $24,999",31.3,34.1,41.0
2017,WY,Wyoming,Income,"$25,000 - $34,999",29.1,31.7,41.9
2017,WY,Wyoming,Income,"$35,000 - $49,999",31.1,27.8,36.9
2017,WY,Wyoming,Income,"$50,000 - $74,999",29.6,23.5,36.3
2017,WY,Wyoming,Income,"$75,000 or greater",27.1,18.0,31.7
2017,WY,Wyoming,Income,Data not reported,21.8,28.5,43.3
2017,WY,Wyoming,Income,"Less than $15,000",36.1,30.0,46.8
2017,WY,Wyoming,Race/Ethnicity,Hispanic,25.8,19.8,29.7
2017,WY,Wyoming,Race/Ethnicity,NH American Indian/Alaska Native,44.4,37.0,41.5
2017,WY,Wyoming,Race/Ethnicity,Non-Hispanic 2 or more races,28.9,24.1,46.3
2017,WY,Wyoming,Race/Ethnicity,Non-Hispanic White,28.6,25.9,38.1
2017,WY,Wyoming,Sex,Female,28.1,23.3,33.2
2017,WY,Wyoming,Sex,Male,29.5,28.0,42.0
2017,WY,Wyoming,Total,Total,28.8,25.7,37.7
2019,AK,Alaska,Age (years),18 - 24,15.4,16.4,49.0
2019,AK,Alaska,Age (years),25 - 34,26.8,24.5,45.1
2019,AK,Alaska,Age (years),35 - 44,35.9,19.9,45.3
2019,AK,Alaska,Age (years),45 - 54,42.3,22.8,44.2
2019,AK,Alaska,Age (years),55 - 64,30.8,19.6,37.1
2019,AK,Alaska,Age (years),65 or older,30.2,25.2,37.2
2019,AK,Alaska,Education,College graduate,22.6,9.5,35.1
2019,AK,Alaska,Education,High school graduate,27.3,27.5,45.4
2019,AK,Alaska,Education,Less than high school,32.4,38.2,47.9
2019,AK,Alaska,Education,Some college or technical school,38.6,22.5,45.4
2019,AK,Alaska,Income,"$15,000 - $24,999",29.3,27.5,44.8
2019,AK,Alaska,Income,"$25,000 - $34,999",36.1,31.4,47.4
2019,AK,Alaska,Income,"$35,000 - $49,999",41.6,24.0,39.7
2019,AK,Alaska,Income,"$50,000 - $74,999",30.8,21.6,43.1
2019,AK,Alaska,Income,"$75,000 or greater",29.3,15.4,38.9
2019,AK,Alaska,Income,Data not reported,26.0,22.2,47.3
2019,AK,Alaska,Income,"Less than $15,000",24.3,33.1,51.5
2019,AK,Alaska,Race/Ethnicity,Hispanic,40.6,13.0,38.1
2019,AK,Alaska,Race/Ethnicity,NH American Indian/Alaska Native,37.3,31.8,49.3
2019,AK,Alaska,Race/Ethnicity,Non-Hispanic 2 or more races,31.2,30.8,54.0
2019,AK,Alaska,Race/Ethnicity,Non-Hispanic White,28.6,19.4,40.4
2019,AK,Alaska,Sex,Female,30.6,21.2,41.1
2019,AK,Alaska,Sex,Male,30.5,22.1,44.4
2019,AK,Alaska,Total,Total,30.5,21.7,42.8
2019,AL,Alabama,Age (years),18 - 24,24.6,22.4,45.4
2019,AL,Alabama,Age (years),25 - 34,36.4,27.7,48.2
2019,AL,Alabama,Age (years),35 - 44,40.3,29.6,44.2
2019,AL,Alabama,Age (years),45 - 54,41.5,30.9,48.2
2019,AL,Alabama,Age (years),55 - 64,41.2,36.9,48.8
2019,AL,Alabama,Age (years),65 or older,31.3,36.6,42.9
2019,AL,Alabama,Education,College graduate,32.0,19.6,39.5
2019,AL,Alabama,Education,High school graduate,34.4,36.8,48.5
2019,AL,Alabama,Education,Less than high school,43.4,42.9,49.0
2019,AL,Alabama,Education,Some college or technical school,37.3,29.5,47.3
2019,AL,Alabama,Income,"$15,000 - $24,999",40.6,39.6,47.3
2019,AL,Alabama,Income,"$25,000 - $34,999",38.9,36.8,47.1
2019,AL,Alabama,Income,"$35,000 - $49,999",35.8,30.6,42.5
2019,AL,Alabama,Income,"$50,000 - $74,999",35.4,27.2,45.6
2019,AL,Alabama,Income,"$75,000 or greater",32.0,17.7,43.6
2019,AL,Alabama,Income,Data not reported,33.5,36.7,48.7
2019,AL,Alabama,Income,"Less than $15,000",41.7,42.7,50.1
2019,AL,Alabama,Race/Ethnicity,Hispanic,35.7,16.2,40.7
2019,AL,Alabama,Race/Ethnicity,NH American Indian/Alaska Native,30.9,28.9,30.6
2019,AL,Alabama,Race/Ethnicity,Non-Hispanic 2 or more races,32.8,34.7,45.0
2019,AL,Alabama,Race/Ethnicity,Non-Hispanic Black,46.6,35.2,44.9
2019,AL,Alabama,Race/Ethnicity,Non-Hispanic White,32.6,31.1,47.4
2019,AL,Alabama,Sex,Female,36.2,34.3,44.7
2019,AL,Alabama,Sex,Male,36.0,28.3,47.7
2019,AL,Alabama,Total,Total,36.1,31.5,46.1
2019,AR,Arkansas,Age (years),18 - 24,26.3,21.1,48.7
2019,AR,Arkansas,Age (years),25 - 34,36.3,26.6,48.6
2019,AR,Arkansas,Age (years),35 - 44,45.1,28.2,44.9
2019,AR,Arkansas,Age (years),45 - 54,43.7,32.4,48.5
2019,AR,Arkansas,Age (years),55 - 64,40.6,34.7,48.2
2019,AR,Arkansas,Age (years),65 or older,32.4,38.9,42.3
2019,AR,Arkansas,Education,College graduate,33.6,20.1,38.8
2019,AR,Arkansas,Education,High school graduate,37.8,37.3,49.0
2019,AR,Arkansas,Education,Less than high school,41.4,40.1,46.2
2019,AR,Arkansas,Education,Some college or technical school,37.8,28.3,49.4
2019,AR,Arkansas,Income,"$15,000 - $24,999",38.8,38.3,48.9
2019,AR,Arkansas,Income,"$25,000 - $34,999",31.6,32.6,48.1
